image_name,original_resolution,upscaled_resolution,lpips_score,status,model_used,scale_used
1024__image_0009.jpg,1880x1253,1880x1253,,kept,none,1
1024__image_0013.jpg,1040x1300,1040x1300,,kept,none,1
1024__image_0014.jpg,1042x1300,1042x1300,,kept,none,1
1024__image_0022.jpg,1880x1253,1880x1253,,kept,none,1
1024__image_0025.jpg,1880x1253,1880x1253,,kept,none,1
1024__image_0026.jpg,1106x1300,1106x1300,,kept,none,1
1024__image_0030.jpg,1040x1300,1040x1300,,kept,none,1
1024__image_0032.jpg,1300x1300,1300x1300,,kept,none,1
1024__image_0033.jpg,1880x1253,1880x1253,,kept,none,1
1024__image_0034.jpg,1040x1300,1040x1300,,kept,none,1
1024__image_0036.jpg,1040x1300,1040x1300,,kept,none,1
1024__image_0040.jpg,1820x1300,1820x1300,,kept,none,1
1024__image_0051.jpg,1880x1253,1880x1253,,kept,none,1
1024__image_0053.jpg,1880x1253,1880x1253,,kept,none,1
1024__image_0055.jpg,1880x1253,1880x1253,,kept,none,1
1024__image_0061.jpg,1880x1253,1880x1253,,kept,none,1
1024__image_0065.jpg,1880x1253,1880x1253,,kept,none,1
1024__image_0068.jpg,1880x1253,1880x1253,,kept,none,1
1024__image_0071.jpg,1880x1253,1880x1253,,kept,none,1
1024__image_0073.jpg,1880x1103,1880x1103,,kept,none,1
1024__image_0075.jpg,1880x1253,1880x1253,,kept,none,1
1024__image_0078.jpg,1880x1253,1880x1253,,kept,none,1
1024__image_0079.jpg,1880x1250,1880x1250,,kept,none,1
1024__image_0083.jpg,1880x1253,1880x1253,,kept,none,1
1024__image_0101.jpg,1880x1250,1880x1250,,kept,none,1
1024__image_0105.jpg,1040x1300,1040x1300,,kept,none,1
1024__image_0107.jpg,1880x1253,1880x1253,,kept,none,1
1024__image_0128.jpg,1040x1300,1040x1300,,kept,none,1
1024__image_0143.jpg,1880x1253,1880x1253,,kept,none,1
1024__image_0145.jpg,1880x1254,1880x1254,,kept,none,1
1024__image_0147.jpg,1880x1253,1880x1253,,kept,none,1
1024__image_0152.jpg,1880x1254,1880x1254,,kept,none,1
1024__image_0155.jpg,1880x1203,1880x1203,,kept,none,1
1024__image_0159.jpg,1880x1192,1880x1192,,kept,none,1
1024__image_0160.jpg,1880x1058,1880x1058,,kept,none,1
1024__image_0163.jpg,1040x1300,1040x1300,,kept,none,1
1024__image_0167.jpg,1443x1300,1443x1300,,kept,none,1
1024__image_0168.jpg,1880x1251,1880x1251,,kept,none,1
1024__image_0174.jpg,1880x1195,1880x1195,,kept,none,1
1024__image_0175.jpg,1880x1254,1880x1254,,kept,none,1
1024__image_0179.jpg,1451x1300,1451x1300,,kept,none,1
1024__image_0180.jpg,1880x1116,1880x1116,,kept,none,1
1024__image_0182.jpg,1733x1300,1733x1300,,kept,none,1
1024__image_0184.jpg,1880x1253,1880x1253,,kept,none,1
1024__image_0185.jpg,1880x1253,1880x1253,,kept,none,1
1024__image_0187.jpg,1040x1300,1040x1300,,kept,none,1
1024__image_0189.jpg,1880x1253,1880x1253,,kept,none,1
1024__image_0190.jpg,1057x1300,1057x1300,,kept,none,1
1024__image_0191.jpg,1880x1253,1880x1253,,kept,none,1
1024__image_0193.jpg,1880x1253,1880x1253,,kept,none,1
1024__image_0194.jpg,1880x1253,1880x1253,,kept,none,1
1024__image_0195.jpg,1810x1300,1810x1300,,kept,none,1
1024__image_0197.jpg,1880x1253,1880x1253,,kept,none,1
1024__image_0257.jpg,1033x1280,1033x1280,,kept,none,1
1024__image_0264.jpg,1280x1280,1280x1280,,kept,none,1
1024__image_0306.jpg,1280x1120,1280x1120,,kept,none,1
1024__image_0307.jpg,1226x1280,1226x1280,,kept,none,1
256__image_0001.jpg,256x256,512x512,0.023542,flagged,RealESRGAN_x4plus,2
256__image_0002.jpg,256x256,512x512,0.025458,flagged,RealESRGAN_x4plus,2
256__image_0003.jpg,256x256,512x512,0.083434,flagged,RealESRGAN_x4plus,2
256__image_0004.jpg,256x256,512x512,0.077177,flagged,RealESRGAN_x4plus,2
256__image_0005.jpg,256x256,512x512,0.024401,flagged,RealESRGAN_x4plus,2
256__image_0006.jpg,256x256,512x512,0.027675,flagged,RealESRGAN_x4plus,2
256__image_0007.jpg,256x256,512x512,0.026616,flagged,RealESRGAN_x4plus,2
256__image_0008.jpg,256x256,512x512,0.049463,flagged,RealESRGAN_x4plus,2
256__image_0009.jpg,256x256,512x512,0.018199,flagged,RealESRGAN_x4plus,2
256__image_0010.jpg,256x256,512x512,0.043360,flagged,RealESRGAN_x4plus,2
256__image_0011.jpg,256x256,512x512,0.048825,flagged,RealESRGAN_x4plus,2
256__image_0012.jpg,256x256,512x512,0.061822,flagged,RealESRGAN_x4plus,2
256__image_0013.jpg,256x256,512x512,0.058343,flagged,RealESRGAN_x4plus,2
256__image_0014.jpg,256x256,512x512,0.041954,flagged,RealESRGAN_x4plus,2
256__image_0015.jpg,256x256,512x512,0.024926,flagged,RealESRGAN_x4plus,2
256__image_0016.jpg,256x256,512x512,0.042875,flagged,RealESRGAN_x4plus,2
256__image_0017.jpg,256x256,512x512,0.099011,flagged,RealESRGAN_x4plus,2
256__image_0018.jpg,256x256,512x512,0.067346,flagged,RealESRGAN_x4plus,2
256__image_0019.jpg,256x256,512x512,0.081316,flagged,RealESRGAN_x4plus,2
256__image_0020.jpg,256x256,512x512,0.061820,flagged,RealESRGAN_x4plus,2
256__image_0021.jpg,256x256,512x512,0.055043,flagged,RealESRGAN_x4plus,2
256__image_0022.jpg,256x256,512x512,0.036920,flagged,RealESRGAN_x4plus,2
256__image_0023.jpg,256x256,512x512,0.245814,flagged,RealESRGAN_x4plus,2
256__image_0024.jpg,256x256,512x512,0.043506,flagged,RealESRGAN_x4plus,2
256__image_0025.jpg,256x256,512x512,0.076919,flagged,RealESRGAN_x4plus,2
256__image_0026.jpg,256x256,512x512,0.042568,flagged,RealESRGAN_x4plus,2
256__image_0027.jpg,256x256,512x512,0.022102,flagged,RealESRGAN_x4plus,2
256__image_0028.jpg,256x256,512x512,0.054262,flagged,RealESRGAN_x4plus,2
256__image_0029.jpg,256x256,512x512,0.037191,flagged,RealESRGAN_x4plus,2
256__image_0030.jpg,256x256,512x512,0.041926,flagged,RealESRGAN_x4plus,2
256__image_0031.jpg,256x256,512x512,0.016923,flagged,RealESRGAN_x4plus,2
256__image_0032.jpg,256x256,512x512,0.035916,flagged,RealESRGAN_x4plus,2
256__image_0033.jpg,256x256,512x512,0.033746,flagged,RealESRGAN_x4plus,2
256__image_0034.jpg,256x256,512x512,0.029125,flagged,RealESRGAN_x4plus,2
256__image_0035.jpg,256x256,512x512,0.086513,flagged,RealESRGAN_x4plus,2
256__image_0036.jpg,256x256,512x512,0.086309,flagged,RealESRGAN_x4plus,2
256__image_0037.jpg,256x256,512x512,0.077099,flagged,RealESRGAN_x4plus,2
256__image_0038.jpg,256x256,512x512,0.042684,flagged,RealESRGAN_x4plus,2
256__image_0039.jpg,256x256,512x512,0.088915,flagged,RealESRGAN_x4plus,2
256__image_0040.jpg,256x256,512x512,0.067111,flagged,RealESRGAN_x4plus,2
256__image_0041.jpg,256x256,512x512,0.052588,flagged,RealESRGAN_x4plus,2
256__image_0042.jpg,256x256,512x512,0.171630,flagged,RealESRGAN_x4plus,2
256__image_0043.jpg,256x256,512x512,0.105824,flagged,RealESRGAN_x4plus,2
256__image_0044.jpg,256x256,512x512,0.035689,flagged,RealESRGAN_x4plus,2
256__image_0045.jpg,256x256,512x512,0.073437,flagged,RealESRGAN_x4plus,2
256__image_0046.jpg,256x256,512x512,0.060136,flagged,RealESRGAN_x4plus,2
256__image_0047.jpg,256x256,512x512,0.092053,flagged,RealESRGAN_x4plus,2
256__image_0048.jpg,256x256,512x512,0.029483,flagged,RealESRGAN_x4plus,2
256__image_0049.jpg,256x256,512x512,0.085776,flagged,RealESRGAN_x4plus,2
256__image_0050.jpg,256x256,512x512,0.022407,flagged,RealESRGAN_x4plus,2
256__image_0051.jpg,256x256,512x512,0.060658,flagged,RealESRGAN_x4plus,2
256__image_0052.jpg,256x256,512x512,0.103206,flagged,RealESRGAN_x4plus,2
256__image_0053.jpg,256x256,512x512,0.042816,flagged,RealESRGAN_x4plus,2
256__image_0054.jpg,256x256,512x512,0.079806,flagged,RealESRGAN_x4plus,2
256__image_0055.jpg,256x256,512x512,0.069075,flagged,RealESRGAN_x4plus,2
256__image_0056.jpg,256x256,512x512,0.031019,flagged,RealESRGAN_x4plus,2
256__image_0057.jpg,256x256,512x512,0.073498,flagged,RealESRGAN_x4plus,2
256__image_0058.jpg,256x256,512x512,0.064845,flagged,RealESRGAN_x4plus,2
256__image_0059.jpg,256x256,512x512,0.044085,flagged,RealESRGAN_x4plus,2
256__image_0060.jpg,256x256,512x512,0.088517,flagged,RealESRGAN_x4plus,2
256__image_0061.jpg,256x256,512x512,0.074579,flagged,RealESRGAN_x4plus,2
256__image_0062.jpg,256x256,512x512,0.054164,flagged,RealESRGAN_x4plus,2
256__image_0063.jpg,256x256,512x512,0.063494,flagged,RealESRGAN_x4plus,2
256__image_0064.jpg,256x256,512x512,0.014699,flagged,RealESRGAN_x4plus,2
256__image_0065.jpg,256x256,512x512,0.065342,flagged,RealESRGAN_x4plus,2
